activity_period,activity_type_code,boarding_area,geo_region,geo_summary,operating_airline,operating_airline_iata_code,passenger_count,price_category_code,published_airline,published_airline_iata_code,terminal
200507,Deplaned,B,US,Domestic,ATA Airlines,TZ,27271,Low Fare,ATA Airlines,TZ,Terminal 1
200507,Enplaned,B,US,Domestic,ATA Airlines,TZ,29131,Low Fare,ATA Airlines,TZ,Terminal 1
200507,Thru / Transit,B,US,Domestic,ATA Airlines,TZ,5415,Low Fare,ATA Airlines,TZ,Terminal 1
200507,Deplaned,B,Canada,International,Air Canada,AC,35156,Other,Air Canada,AC,Terminal 1
200507,Enplaned,B,Canada,International,Air Canada,AC,34090,Other,Air Canada,AC,Terminal 1
200507,Deplaned,G,Asia,International,Air China,CA,6263,Other,Air China,CA,International
200507,Enplaned,G,Asia,International,Air China,CA,5500,Other,Air China,CA,International
200507,Deplaned,A,Europe,International,Air France,AF,12050,Other,Air France,AF,International
200507,Enplaned,A,Europe,International,Air France,AF,11638,Other,Air France,AF,International
200507,Deplaned,G,Australia / Oceania,International,Air New Zealand,NZ,4998,Other,Air New Zealand,NZ,International
200507,Enplaned,G,Australia / Oceania,International,Air New Zealand,NZ,4962,Other,Air New Zealand,NZ,International
200507,Deplaned,A,US,Domestic,AirTran Airways,FL,8055,Low Fare,AirTran Airways,FL,International
200507,Enplaned,A,US,Domestic,AirTran Airways,FL,7984,Low Fare,AirTran Airways,FL,International
200507,Deplaned,A,US,Domestic,Alaska Airlines,AS,36641,Other,Alaska Airlines,AS,International
200507,Enplaned,A,US,Domestic,Alaska Airlines,AS,39379,Other,Alaska Airlines,AS,International
200507,Thru / Transit,A,US,Domestic,Alaska Airlines,AS,3678,Other,Alaska Airlines,AS,International
200507,Deplaned,A,Canada,International,Alaska Airlines,AS,7977,Other,Alaska Airlines,AS,International
200507,Enplaned,A,Canada,International,Alaska Airlines,AS,8837,Other,Alaska Airlines,AS,International
200507,Deplaned,A,Mexico,International,Alaska Airlines,AS,6969,Other,Alaska Airlines,AS,International
200507,Enplaned,A,Mexico,International,Alaska Airlines,AS,10046,Other,Alaska Airlines,AS,International
200507,Thru / Transit,A,Mexico,International,Alaska Airlines,AS,2266,Other,Alaska Airlines,AS,International
200507,Deplaned,G,Asia,International,All Nippon Airways,NH,6545,Other,All Nippon Airways,NH,International
200507,Enplaned,G,Asia,International,All Nippon Airways,NH,6094,Other,All Nippon Airways,NH,International
200507,Deplaned,E,US,Domestic,American Airlines,AA,166577,Other,American Airlines,AA,Terminal 3
200507,Enplaned,E,US,Domestic,American Airlines,AA,160890,Other,American Airlines,AA,Terminal 3
200507,Deplaned,E,US,Domestic,American Eagle Airlines,MQ,5493,Other,American Airlines,AA,Terminal 3
200507,Enplaned,E,US,Domestic,American Eagle Airlines,MQ,5213,Other,American Airlines,AA,Terminal 3
200507,Deplaned,A,Asia,International,Asiana Airlines,OZ,5041,Other,Asiana Airlines,OZ,International
200507,Enplaned,A,Asia,International,Asiana Airlines,OZ,4744,Other,Asiana Airlines,OZ,International
200507,Deplaned,C,US,Domestic,Atlantic Southeast Airlines,EV,1552,Other,Delta Air Lines,DL,Terminal 1
200507,Enplaned,C,US,Domestic,Atlantic Southeast Airlines,EV,1484,Other,Delta Air Lines,DL,Terminal 1
200507,Deplaned,A,Europe,International,BelAir Airlines,4T,325,Other,BelAir Airlines,4T,International
200507,Enplaned,A,Europe,International,BelAir Airlines,4T,545,Other,BelAir Airlines,4T,International
200507,Deplaned,A,Europe,International,British Airways,BA,20632,Other,British Airways,BA,International
200507,Enplaned,A,Europe,International,British Airways,BA,21686,Other,British Airways,BA,International
200507,Deplaned,A,Asia,International,Cathay Pacific,CX,11010,Other,Cathay Pacific,CX,International
200507,Enplaned,A,Asia,International,Cathay Pacific,CX,9628,Other,Cathay Pacific,CX,International
200507,Deplaned,A,Asia,International,China Airlines,CI,13638,Other,China Airlines,CI,International
200507,Enplaned,A,Asia,International,China Airlines,CI,11255,Other,China Airlines,CI,International
200507,Deplaned,C,US,Domestic,Delta Air Lines,DL,97510,Other,Delta Air Lines,DL,Terminal 1
200507,Enplaned,C,US,Domestic,Delta Air Lines,DL,93791,Other,Delta Air Lines,DL,Terminal 1
200507,Deplaned,G,Asia,International,EVA Airways,BR,14142,Other,EVA Airways,BR,International
200507,Enplaned,G,Asia,International,EVA Airways,BR,12132,Other,EVA Airways,BR,International
200507,Deplaned,B,US,Domestic,Frontier Airlines,F9,19234,Low Fare,Frontier Airlines,F9,Terminal 1
200507,Enplaned,B,US,Domestic,Frontier Airlines,F9,18368,Low Fare,Frontier Airlines,F9,Terminal 1
200507,Deplaned,C,US,Domestic,Hawaiian Airlines,HA,7579,Other,Hawaiian Airlines,HA,Terminal 1
200507,Enplaned,C,US,Domestic,Hawaiian Airlines,HA,7658,Other,Hawaiian Airlines,HA,Terminal 1
200507,Deplaned,B,US,Domestic,Horizon Air ,QX,5284,Other,Alaska Airlines,AS,Terminal 1
200507,Enplaned,B,US,Domestic,Horizon Air ,QX,5257,Other,Alaska Airlines,AS,Terminal 1
200507,Deplaned,A,Europe,International,Icelandair,FI,4540,Other,Icelandair,FI,International
200507,Enplaned,A,Europe,International,Icelandair,FI,4341,Other,Icelandair,FI,International
200507,Deplaned,A,US,Domestic,Independence Air,DH,10843,Low Fare,Independence Air,DH,International
200507,Enplaned,A,US,Domestic,Independence Air,DH,10967,Low Fare,Independence Air,DH,International
200507,Deplaned,A,Asia,International,Japan Airlines,JL,9195,Other,Japan Airlines,JL,International
200507,Enplaned,A,Asia,International,Japan Airlines,JL,9086,Other,Japan Airlines,JL,International
200507,Deplaned,A,Europe,International,KLM Royal Dutch Airlines,KL,9978,Other,KLM Royal Dutch Airlines,KL,International
200507,Enplaned,A,Europe,International,KLM Royal Dutch Airlines,KL,9587,Other,KLM Royal Dutch Airlines,KL,International
200507,Deplaned,A,Asia,International,Korean Air Lines,KE,6153,Other,Korean Air Lines,KE,International
200507,Enplaned,A,Asia,International,Korean Air Lines,KE,5646,Other,Korean Air Lines,KE,International
200507,Deplaned,G,Europe,International,Lufthansa German Airlines,LH,22389,Other,Lufthansa German Airlines,LH,International
200507,Enplaned,G,Europe,International,Lufthansa German Airlines,LH,20511,Other,Lufthansa German Airlines,LH,International
200507,Deplaned,B,US,Domestic,Mesa Airlines,YV,2636,Other,US Airways,US ,Terminal 1
200507,Enplaned,B,US,Domestic,Mesa Airlines,YV,2535,Other,US Airways,US ,Terminal 1
200507,Deplaned,G,Mexico,International,Mexicana Airlines,MX,7751,Other,Mexicana Airlines,MX,International
200507,Enplaned,G,Mexico,International,Mexicana Airlines,MX,7845,Other,Mexicana Airlines,MX,International
200507,Deplaned,A,US,Domestic,Midwest Airlines,YX,1797,Other,Midwest Airlines,YX,Terminal 1
200507,Enplaned,A,US,Domestic,Midwest Airlines,YX,3238,Other,Midwest Airlines,YX,Terminal 1
200507,Deplaned,C,US,Domestic,Northwest Airlines,NW,64231,Other,Northwest Airlines,NW,Terminal 1
200507,Enplaned,C,US,Domestic,Northwest Airlines,NW,62049,Other,Northwest Airlines,NW,Terminal 1
200507,Deplaned,A,Asia,International,Northwest Airlines,NW,7229,Other,Northwest Airlines,NW,International
200507,Enplaned,A,Asia,International,Northwest Airlines,NW,6554,Other,Northwest Airlines,NW,International
200507,Deplaned,A,Asia,International,Philippine Airlines,PR,12828,Other,Philippine Airlines,PR,International
200507,Enplaned,A,Asia,International,Philippine Airlines,PR,10269,Other,Philippine Airlines,PR,International
200507,Deplaned,G,Asia,International,Singapore Airlines,SQ,19211,Other,Singapore Airlines,SQ,International
200507,Enplaned,G,Asia,International,Singapore Airlines,SQ,17462,Other,Singapore Airlines,SQ,International
200507,Deplaned,C,US,Domestic,SkyWest Airlines,OO,7262,Other,Delta Air Lines,DL,Terminal 1
200507,Enplaned,C,US,Domestic,SkyWest Airlines,OO,6586,Other,Delta Air Lines,DL,Terminal 1
200507,Deplaned,F,US,Domestic,SkyWest Airlines,OO,103279,Other,United Airlines - Pre 07/01/2013,UA,Terminal 3
200507,Enplaned,F,US,Domestic,SkyWest Airlines,OO,102023,Other,United Airlines - Pre 07/01/2013,UA,Terminal 3
200507,Deplaned,F,Canada,International,SkyWest Airlines,OO,3688,Other,United Airlines - Pre 07/01/2013,UA,Terminal 3
200507,Enplaned,F,Canada,International,SkyWest Airlines,OO,3633,Other,United Airlines - Pre 07/01/2013,UA,Terminal 3
