"Object URI","has Activity Period Value","SUM( ^has activity period/has passenger count )","SUM( ^has activity period/has total landed weight )","SUM( ^has activity period/has landing count )"
"http://csi.com/ActivityPeriod/200507","200507","3225769","2436639140","14064"
"http://csi.com/ActivityPeriod/200508","200508","3195866","2421824470","14062"
"http://csi.com/ActivityPeriod/200509","200509","2740553","2249329540","13022"
"http://csi.com/ActivityPeriod/200510","200510","2770715","2296568850","13360"
"http://csi.com/ActivityPeriod/200511","200511","2617333","2186727030","12676"
"http://csi.com/ActivityPeriod/200512","200512","2671797","2272491790","13029"
"http://csi.com/ActivityPeriod/200601","200601","2448889","2180206310","12803"
"http://csi.com/ActivityPeriod/200602","200602","2223024","1977244380","11600"
"http://csi.com/ActivityPeriod/200603","200603","2708778","2254995350","13089"
"http://csi.com/ActivityPeriod/200604","200604","2773293","2235652399","12927"
"http://csi.com/ActivityPeriod/200605","200605","2829000","2302959250","13364"
"http://csi.com/ActivityPeriod/200606","200606","3071396","2364303520","13523"
"http://csi.com/ActivityPeriod/200607","200607","3227605","2452983200","14118"
"http://csi.com/ActivityPeriod/200608","200608","3143839","2472843550","14354"
"http://csi.com/ActivityPeriod/200609","200609","2720100","2261589720","13040"
"http://csi.com/ActivityPeriod/200610","200610","2834959","2324732100","13454"
"http://csi.com/ActivityPeriod/200611","200611","2653887","2246578100","12889"
"http://csi.com/ActivityPeriod/200612","200612","2698200","2328767230","13349"
"http://csi.com/ActivityPeriod/200701","200701","2507430","2240988656","13176"
"http://csi.com/ActivityPeriod/200702","200702","2304990","2007483140","11744"
"http://csi.com/ActivityPeriod/200703","200703","2820085","2303315982","13477"
"http://csi.com/ActivityPeriod/200704","200704","2869247","2273514000","13218"
"http://csi.com/ActivityPeriod/200705","200705","3056934","2431310760","14217"
"http://csi.com/ActivityPeriod/200706","200706","3263621","2457264720","14413"
"http://csi.com/ActivityPeriod/200707","200707","3382382","2542594480","14968"
"http://csi.com/ActivityPeriod/200708","200708","3436417","2564386220","15254"
"http://csi.com/ActivityPeriod/200709","200709","2957530","2433524570","14391"
"http://csi.com/ActivityPeriod/200710","200710","3129309","2524944667","14882"
"http://csi.com/ActivityPeriod/200711","200711","2922500","2405456880","14267"
"http://csi.com/ActivityPeriod/200712","200712","2903637","2458751543","14604"
"http://csi.com/ActivityPeriod/200801","200801","2670053","2327804280","13799"
"http://csi.com/ActivityPeriod/200802","200802","2595676","2213454299","13351"
"http://csi.com/ActivityPeriod/200803","200803","3127387","2450916142","14753"
"http://csi.com/ActivityPeriod/200804","200804","3029021","2411930940","14469"
"http://csi.com/ActivityPeriod/200805","200805","3305954","2521270493","15228"
"http://csi.com/ActivityPeriod/200806","200806","3453751","2567179171","15441"
"http://csi.com/ActivityPeriod/200807","200807","3603946","2701488198","16318"
"http://csi.com/ActivityPeriod/200808","200808","3612297","2656295474","16080"
"http://csi.com/ActivityPeriod/200809","200809","3004720","2337550326","14207"
"http://csi.com/ActivityPeriod/200810","200810","3124451","2413005731","14591"
"http://csi.com/ActivityPeriod/200811","200811","2744485","2208034459","13443"
"http://csi.com/ActivityPeriod/200812","200812","2962937","2312450055","13946"
"http://csi.com/ActivityPeriod/200901","200901","2644539","2255916514","13792"
"http://csi.com/ActivityPeriod/200902","200902","2359800","2020164615","12533"
"http://csi.com/ActivityPeriod/200903","200903","2925918","2335215349","14353"
"http://csi.com/ActivityPeriod/200904","200904","3024973","2310138328","13994"
"http://csi.com/ActivityPeriod/200905","200905","3177100","2441060948","14809"
"http://csi.com/ActivityPeriod/200906","200906","3419595","2495916470","15412"
