codprestamo,fecha,importe
P001MAD,2016-12-14,39000000.00
P001MAD,2019-12-14,39000000.00
P001MAD,2022-12-14,24000000.00
P002MAD,2010-11-30,2615384.62
P002MAD,2011-11-30,2615384.62
P002MAD,2012-11-30,2615384.62
P002MAD,2013-11-30,2615384.62
P002MAD,2014-11-30,2615384.62
P002MAD,2015-11-30,2615384.62
P002MAD,2016-11-30,2615384.62
P002MAD,2017-11-30,2615384.62
P002MAD,2018-11-30,2615384.62
P002MAD,2029-11-30,2615384.62
P002MAD,2020-11-30,2615384.62
P002MAD,2021-11-30,2615384.62
P002MAD,2022-11-30,2615384.56
P008MAD,2014-11-29,1479230.77
P008MAD,2015-11-29,1479230.77
P008MAD,2016-11-29,1479230.77
P008MAD,2017-11-29,1479230.77
P008MAD,2018-11-29,1479230.77
P008MAD,2019-11-29,1479230.77
P008MAD,2020-11-29,1479230.77
P008MAD,2021-11-29,1479230.76
P003MAD,2012-11-30,66061.98
P003MAD,2013-11-30,66061.98
P003MAD,2014-11-30,66061.98
P003MAD,2015-11-30,66061.98
P003MAD,2016-11-30,66061.98
P003MAD,2017-11-30,66061.98
P003MAD,2018-11-30,66061.98
P003MAD,2019-11-30,66061.98
P003MAD,2020-11-30,66061.98
P003MAD,2021-11-30,66061.98
P003MAD,2022-11-30,66061.98
P003MAD,2023-11-30,66062.02
