"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Any_alta_padro","Nombre"
2021,1,"Ciutat Vella",1,"el Raval","Dones","Menys d'1 any",2112
2021,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","Menys d'1 any",1215
2021,1,"Ciutat Vella",3,"la Barceloneta","Dones","Menys d'1 any",763
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Menys d'1 any",1137
2021,2,"Eixample",5,"el Fort Pienc","Dones","Menys d'1 any",1116
2021,2,"Eixample",6,"la Sagrada Família","Dones","Menys d'1 any",1749
2021,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Menys d'1 any",1721
2021,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Menys d'1 any",1516
2021,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","Menys d'1 any",1722
2021,2,"Eixample",10,"Sant Antoni","Dones","Menys d'1 any",1169
2021,3,"Sants-Montjuïc",11,"el Poble Sec","Dones","Menys d'1 any",1434
2021,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones","Menys d'1 any",23
2021,3,"Sants-Montjuïc",13,"la Marina de Port","Dones","Menys d'1 any",656
2021,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones","Menys d'1 any",276
2021,3,"Sants-Montjuïc",15,"Hostafrancs","Dones","Menys d'1 any",545
2021,3,"Sants-Montjuïc",16,"la Bordeta","Dones","Menys d'1 any",454
2021,3,"Sants-Montjuïc",17,"Sants - Badal","Dones","Menys d'1 any",743
2021,3,"Sants-Montjuïc",18,"Sants","Dones","Menys d'1 any",1435
2021,4,"Les Corts",19,"les Corts","Dones","Menys d'1 any",1003
2021,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones","Menys d'1 any",604
2021,4,"Les Corts",21,"Pedralbes","Dones","Menys d'1 any",321
2021,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones","Menys d'1 any",98
2021,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones","Menys d'1 any",578
2021,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones","Menys d'1 any",351
2021,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones","Menys d'1 any",639
2021,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones","Menys d'1 any",1191
2021,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones","Menys d'1 any",742
2021,6,"Gràcia",28,"Vallcarca i els Penitents","Dones","Menys d'1 any",435
